Vendor,Software_Count,Districts_Served,Total_Revenue,Records_with_Cost,Rounds
Edgenuity,1,1,23550.0,1,[np.int64(4)]
LAB AIDS,1,1,1300.0,1,[np.int64(4)]
P.C. Enterprises,1,1,164.0,1,[np.int64(4)]
"OverDrive, Inc",1,1,2000.0,1,[np.int64(4)]
"Newsela, Inc.",1,1,3025.0,1,[np.int64(4)]
Newsela,1,1,3025.0,1,[np.int64(4)]
Mystery Science,1,1,1499.0,1,[np.int64(4)]
McGraw Hill,1,1,888.03,1,[np.int64(4)]
APPLE COMPUTER,1,1,656.7,1,[np.int64(4)]
"Edpuzzle, Inc.",1,1,8075.0,1,[np.int64(4)]
LEARNING WITHOUT,1,1,104.54,1,[np.int64(4)]
Inner Explorer,1,1,8000.0,1,[np.int64(4)]
Goodheart,1,1,7035.25,1,[np.int64(4)]
GameSalad,1,1,1200.0,1,[np.int64(1)]
Gabelmann,1,1,513.45,1,[np.int64(2)]
FastSpring,1,1,78.0,1,[np.int64(4)]
"FITNESS FINDERS, INC.",1,1,179.95,1,[np.int64(4)]
Everyday Speech LLC,1,1,337.5,1,[np.int64(4)]
Wonder Workshop,1,1,218.97,1,[np.int64(4)]
LHS ASSOCIATES,0,1,3120.0,4,[np.int64(4)]
VIEWPOINT GOV SOL,0,1,11000.0,2,[np.int64(4)]
Aperture Education,0,1,6553.5,1,[np.int64(4)]
Cricket Media,0,1,3125.0,2,[np.int64(4)]
